# id	file_path	transparent_color_r	g	b
[TEXTURES]
500	map\map2_bank.png	255	255	255
0	textures\gimmick.png	0	0	255
10	textures\gimmick2.png	0	0	255
20	textures\enemy.png	57	189	255
30	textures\enemy2.png	57	189	255
40	textures\item.png	215	121	214
50	textures\enemy4.png	203	102	185
60	textures\HUB.png	0	0	255
70	textures\enemy3.png	0	0	255
80	textures\Cai-Long.png	203	102	185
90	textures\Window.png	215	121	214
100	textures\treasures.png	60	188	252
110	textures\HUD2.png	255	13	17
120	textures\item2.png	60	188	252
130	textures\enemy5.png	57	189	255

#ID	TRTileSet	TCTileSet	TRMap	TCMap	TotalTiles	Matrix_Path
[MAP]
500	20	11	60	128	210	map\map2_map.txt

# id	left	top	right	bottom	texture_id
[SPRITES]

#BlackEnemy
#=======black eneny

#==normal
#walk right
30000	2	1	18	17	20
30001	20	2	36	17	20
30002	38	1	54	17	20
#walk left
30003	678	1	694	17	30
30004	660	2	676	17	30
30005	642	1	658	17	30

#fly right
30006	2	19	18	36	20
30007	20	19	36	36	20
30008	38	19	54	36	20
30009	56	19	72	36	20
30010	74	19	90	36	20

#fly left
30011	678	19	694	36	30
30012	660	19	676	36	30
30013	642	19	658	36	30
30014	624	19	640	36	30
30015	606	19	622	36	30

#jump right
30020	 38	1	54	17	20

#jump left
30021	642	1	658	17	30

#die
30022	642	863	658	879	130

#===Đại bác
#Idle
120101	155	115	179	145	50

#Bị đẩy
120201	217	115	241	145	50
120202	186	115	210	145	50
120203	155	115	179	145	50
120204	124	115	148	145	50
#==== gimmick=====
# idle right
10000	2	2	18	21	0
10001	22	2	38	21	0

#walk right
10002	2	24	18	43	0
10003	21	24	37	43	0
10004	39	24	55	43	0
10005	58	24	74	43	0
10006	79	24	95	43	0
10007	99	24	115	43	0

#Jump right
10008	2	46	18	70	0
10009	22	50	36	66	0

#colision right
10010	2	72	18	97	0
10011	21	72	43	97	0
10012	42	72	64	97	0
10013	65	72	87	97	0
10014	94	72	116	97	0
10015	120	72	142	97	0
10016	170	72	192	97	0

#====die====
10101	8	243	24	259	0
10102	25	243	41	259	0
10103	44	243	60	259	0

#idle left
10017	399	2	415	21	10
10018	379	2	395	21	10

#walk left
10019	399	24	415	43	10
10020	380	24	396	43	10
10021	362	24	378	43	10
10022	322	24	338	43	10
10023	302	24	318	43	10

#Jump left
10024	399	46	415	70	10
10025	381	50	395	66	10

#colision left
10026	399	72	415	97	10
10027	377	72	393	97	10
10028	356	72	372	97	10
10029	330	72	352	97	10
10030	277	72	294	97	10
10031	250	72	268	97	10
10032	201	72	217	97	10

#=====star====
#small star
20000	8	141	16	149	0
20001	20	141	28	149	0

#big star
20002	33	138	53	159	0
20003	55	138	75	159	0
20004	124	137	144	159	0
20005	148	137	168	159	0

#boat
3001	210	65	258	81	50



#brick
40000	120	52	136	68	40



#===MEDICINE===
#Pink-medicine
60000	1	2	15	16	60
#Orange-medicine
60001	17	0	31	16	60
#Boom-pink-medicine
60002	33	1	47	16	60
#Boom-black-medicine
60003	49	1	63	16	60

#flower
70000	1	1	23	44	100

#bomb
#lăn
70100	85	22	101	38	50
70101	102	22	118	38	50


#bomb-no
80605	323	142	339	158	0
80606	340	142	356	158	0
80607	359	142	375	158	0
80608	378	142	394	158	0
80609	393	142	409	158	0




#====HUB
80710	0	32	256	64	60


#Thanh-hub
80720	0	95	254	127	110
# 0hp
80721	9	15	59	31	110
#1hp
80722	9	34	59	50	110
#2hp
80723	9	55	59	71	110
#3HP
80724	9	76	59	92	110
#4hp
80725	73	15	123	31	110

#pink-medical
80730	79	52	101	74	110
#boom
80731	111	52	133	74	110
#pink
80732	142	52	164	74	110

#==Number
#0
80740	32	135	41	143	110
#1
80741	44	135	52	143	110
#2
80742	55	135	63	143	110
#3
80743	67	135	75	143	110
#4
80744	79	135	87	143	110
#5
80745	90	135	98	143	110
#6
80746	101	135	109	143	110
#7
80747	112	135	120	143	110
#8
80748	123	135	131	143	110
#9
80749	135	135	143	143	110
# 0hp
80721	9	15	59	31	110
#1hp
80722	9	34	59	50	110
#2hp
80723	9	55	59	71	110
#3HP
80724	9	76	59	92	110
#4hp
80725	73	15	123	31	110



# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#Gimmick
#idle right
100	10000	2500	10001	200	10000	200	10001	200
#idle left
101	10017	2500	10018	200	10017	200	10018	200
#walk right
102	10002	100	10003	100	10004	100	10005	100	10006	100	10007	100
#walk left
103	10019	100	10020	100	10021	100	10022	100	10023	100
#jump right
104	10008	500
#Jump left
105	10024	100
#colision right
106	10010	100	10011	100	10012	100	10013	100	10014	100	10015	100	10016	100
#colision left
107	10026	100	10027	100	10028	100	10029	100	10030	100	10031	100	10032	100

#die
108	10101	100	10102	100	10103	100

#======back-enemy
#walk right
300	30000	100	30001	100	30002	100
#walk left
301	30003	100	30004	100	30005	100
#jump right
302	30020	100
#jump left
303	30021	100
#fly 	right
304	30006	100	30007	100	30008	100	30009	100	30010	100
#fly left
305	30011	100	30012	100	30013	100	30014	100	30015	100
#die
306	30022	100

30001	30001	100

#star
#small-star
200	20000	100	20001	100
#big-star
201	20002	100	20003	100	20004	10


#boat
3001	3001	100

#brick
400	40000	100



#Medicine
#pink
600	60000	100
#orange
601	60001	100
#bomb-pink
602	60002	100
#bomb-black
603	60003	100

#===Đại bác
#Idle
1400	120101	100
#Bị đẩy
1401	120201	100	120202	100	120203	100	120204	100

#bomb
#lăn
701	70100	100	70101	100




#bomb-no
865	80605	200	80606	200	80607	200	80608	200	80609	200

#====HUB
873	80710	100


#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
# GimMick
#idle (l,r), walk (l,r), jump (l,r), colision (l,r)
1	101	100	103	102	104	105	106	107


#black enemy
#walk (r,l), jump(r,l), fly(r,l), die
3	300	301	302	303	304	305	306


30001	30001	306

#brick
4	400

#star
90	200	201	865


#===Đại bác
#Idle, Bị đẩy
103	1400	1401
#boat
3001	3001

#bomb
71	701	865
#medicine
#pink medicine
60	600
#orange medicine
61	601
#pink-bomb medicine
62	602
#black-bomb medicine
63	603


[OBJECTS]



1	32	224	4
1	32	240	4
1	32	256	4
1	48	224	4
1	48	240	4
1	48	256	4
1	64	224	4
1	64	240	4
1	64	256	4
1	80	224	4
1	80	240	4
1	80	256	4
1	96	224	4
1	96	240	4
1	96	256	4
1	112	224	4
1	112	240	4
1	112	256	4
1	160	224	4
1	160	240	4
1	160	256	4
1	176	224	4
1	176	240	4
1	176	256	4
1	224	224	4
1	224	240	4
1	224	256	4
1	240	224	4
1	240	240	4
1	240	256	4
1	288	224	4
1	288	240	4
1	288	256	4
1	304	224	4
1	304	240	4
1	304	256	4
1	320	224	4
1	320	240	4
1	320	256	4
1	336	224	4
1	336	240	4
1	336	256	4
1	352	224	4
1	352	240	4
1	352	256	4
1	368	224	4
1	368	240	4
1	368	256	4
1	416	224	4
1	416	240	4
1	416	256	4
1	416	272	4
1	416	288	4
1	432	224	4
1	432	240	4
1	432	256	4
1	432	272	4
1	432	288	4
1	480	224	4
1	480	240	4
1	480	256	4
1	1744	224	4
1	1744	240	4
1	1760	224	4
1	1760	240	4
1	1776	224	4
1	1776	240	4
1	1792	224	4
1	1792	240	4
1	1808	224	4
1	1808	240	4
1	1824	224	4
1	1824	240	4
1	1840	224	4
1	1840	240	4
1	1856	224	4
1	1856	240	4
1	1872	224	4
1	1872	240	4
#JUMP-TO-THE-JACHT BRICKS
1	1568	400	4
1	1584	400	4
1	1616	352	4
1	1632	304	4
1	1648	256	4
1	1664	256	4
#JACHT BRICKS
#LONG TOP WOODS
1	688	432	4
1	672	432	4
1	656	432	4
1	736	480	4
1	720	480	4
1	704	480	4
1	688	480	4
1	672	480	4
1	864	464	4
1	848	464	4
1	832	464	4
1	816	464	4
1	800	464	4
1	784	464	4
1	768	464	4
1	752	464	4
1	736	464	4
1	880	448	4
1	896	432	4
1	896	416	4
1	912	416	4
1	928	416	4
1	944	416	4
1	960	416	4
1	976	416	4
1	992	416	4
1	1008	416	4
1	1024	416	4
1	1040	416	4
1	1056	416	4
1	1072	416	4
1	1088	416	4
