# id	file_path	transparent_color_r	g	b
[TEXTURES]
500	map\map1b_bank.png	255	255	255
0	textures\gimmick.png	0	0	255
10	textures\gimmick2.png	0	0	255
20	textures\enemy.png	57	189	255
30	textures\enemy2.png	57	189	255
40	textures\item.png	215	121	214
50	textures\enemy4.png	203	102	185
60	textures\HUB.png	0	0	255
70	textures\enemy3.png	0	0	255
80	textures\Cai-Long.png	203	102	185
90	textures\Window.png	215	121	214
100	textures\treasures.png	60	188	252
120	textures\item2.png	60	188	252
15	map\map1b.png	0	0	0
130	textures\enemy5.png	57	189	255
110	textures\HUD2.png	255	13	17

#ID	TRTileSet	TCTileSet	TRMap	TCMap	TotalTiles	Matrix_Path
[MAP]
500	15	11	35	96	155	map\map1b_map.txt

# id	left	top	right	bottom	texture_id
[SPRITES]
#==== gimmick=====
# idle right
10000	2	2	18	21	0
10001	22	2	38	21	0

# Frontend Brick
40100	752	480	768	512	15
40101	768	464	784	528	15
40102	784	480	1264	512	15
40103	1264	464	1280	528	15
40104	1280	480	1296	512	15

#walk right
10002	2	24	18	43	0
10003	21	24	37	43	0
10004	39	24	55	43	0
10005	58	24	74	43	0
10006	79	24	95	43	0
10007	99	24	115	43	0

#Jump right
10008	2	46	18	70	0
10009	22	50	36	66	0

#colision right
10010	2	81	18	97	0
10011	24	78	40	94	0
10012	45	81	61	97	0
10013	65	76	87	97	0
10014	96	73	115	97	0
10015	123	78	140	97	0
10016	171	77	190	97	0

#idle left
10017	399	2	415	21	10
10018	379	2	395	21	10

#walk left
10019	399	24	415	43	10
10020	380	24	396	43	10
10021	362	24	378	43	10
10022	322	24	338	43	10
10023	302	24	318	43	10

#Jump left
10024	399	46	415	70	10
10025	381	50	395	66	10

#colision left
10026	399	81	415	97	10
10027	377	78	393	97	10
10028	356	81	372	97	10
10029	330	76	22	21	10
10030	277	78	294	97	10
10031	250	73	268	97	10
10032	210	75	217	97	10

#=====star====
#small star
20000	8	141	16	149	0
20001	20	141	28	149	0

#big star
20002	33	138	53	159	0
20003	55	138	75	159	0
20004	124	137	144	159	0

#bubble start
20005	340	142	356	157	0

#=======black eneny

#==normal
#walk right
30000	2	1	18	17	20
30001	20	2	36	17	20
30002	38	1	54	17	20
#walk left
30003	678	1	694	17	30
30004	660	2	676	17	30
30005	642	1	658	17	30

#fly right
30006	2	19	18	36	20
30007	20	19	36	36	20
30008	38	19	54	36	20
30009	56	19	72	36	20
30010	74	19	90	36	20

#fly left
30011	678	19	694	36	30
30012	660	19	676	36	30
30013	642	19	658	36	30
30014	624	19	640	36	30
30015	606	19	622	36	30

#jump right
30020	 38	1	54	17	20

#jump left
30021	642	1	658	17	30

#die
30022	642	863	658	879	130

#brick
40000	120	52	136	68	40
40001	137	1	153	17	40
40002	35	86	51	102	40
40003	154	18	170	34	40
40004	120	1	136	17	40
40005	154	1	170	17	40
40006	154	52	170	68	40
40007	120	18	136	34	40
40008	137	18	153	34	40

#====black electric enemy
#walk right
50000	2	39	18	61	20
50001	20	40	36	61	20
50002	38	39	54	61	20

#sit right
50003	56	46	72	61	20

#walk left
50004	678	39	694	61	30
50005	660	40	676	61	30
50006	642	39	658	61	30

#sit lelt
50007	624	46	640	61	30

#===MEDICINE===
#Pink-medicine
60000	1	2	15	16	60
#Orange-medicine
60001	17	0	31	16	60
#Boom-pink-medicine
60002	33	1	47	16	60
#Boom-black-medicine
60003	49	1	63	16	60

#====Slide====
#Slide right
60100	1	171	17	187	40
60101	18	171	34	187	40
60102	35	171	51	187	40
60103	52	171	68	187	40

#Slide left
60104	52	188	68	204	40
60105	35	188	51	204	40
60106	18	188	34	204	40
60107	1	188	17	204	40

#====moving-brick====
40010	137	103	153	119	40
40011	154	103	170	119	40

#flower
70000	1	1	23	44	100

#bomb
#lăn
70100	85	22	101	38	50
70101	102	22	118	38	50

#cá đỏ
#walk left
70200	45	7	60	18	120
70201	24	7	40	18	120
70202	4	7	19	18	120

#walk right
70203	77	6	88	18	120
70204	92	7	106	18	120
70205	110	7	126	18	120

#cá đen
#walk left
70300	44	25	59	40	120
70301	23	25	39	40	120
70302	4	25	19	40	120
#walk right
70303	78	25	90	40	120
70304	95	25	107	40	120
70305	111	25	126	40	120

#cá vàng
#walk left
70400	42	49	58	62	120
70401	23	49	38	62	120
70402	4	49	19	62	120
#walk right
70403	78	48	90	62	120
70404	95	48	106	62	120
70405	110	49	126	62	120

#======Banh-xe-lon
#banh-xe-quay-1
80000	1	205	17	221	40
80001	18	205	34	221	40
80002	1	222	17	238	40
80003	18	222	34	238	40
#banh-xe-quay-2
80004	35	205	51	221	40
80005	52	205	68	221	40
80006	35	222	51	238	40
80007	52	222	68	238	40
#banh-xe-quay-3
80008	1	239	17	255	40
80009	18	239	34	255	40
80010	1	256	17	272	40
80011	18	256	34	272	40
#banh-xe-quay-4
80012	35	239	51	255	40
80013	52	239	68	255	40
80014	35	256	51	272	40
80015	52	256	68	272	40

#Banh-xe-nho
80016	69	205	85	221	40
80017	69	222	85	238	40
80018	69	239	85	255	40
80019	69	256	85	272	40

#Tia-set
80100	103	154	119	170	40
80101	120	154	136	170	40
80102	137	154	153	170	40
80103	154	154	170	170	40

80104	103	171	119	187	40
#====pink Worm
#walk right
80500	2	314	25	328	20
80501	27	314	49	328	20

#walk left
80502	671	314	694	328	30
80503	647	314	669	328	30

#====more-enemy
#green bomb
80600	2	1	16	19	50
80601	19	1	33	19	50
80602	36	1	50	19	50
80603	53	1	67	19	50

#red bomb
80604	69	1	83	19	50


#green gun
80610	85	2	101	18	50

#red gun
80611	102	2	118	18	50

#====cai long
#slide-right
80700	10	159	48	222	80
80701	9	73	47	136	80
80702	51	73	89	136	80
80703	93	73	131	136	80
#open
80704	52	159	90	230	80
80705	94	159	132	232	80

#bomb-no
80605	323	142	339	158	0
80606	340	142	356	158	0
80607	359	142	375	158	0
80608	378	142	394	158	0
80609	393	142	409	158	0


#====HUB
80710	0	32	256	64	60

80833	84	3	108	16	70

#Thanh-hub
80720	0	95	254	127	110
# 0hp
80721	9	15	59	31	110
#1hp
80722	9	34	59	50	110
#2hp
80723	9	55	59	71	110
#3HP
80724	9	76	59	92	110
#4hp
80725	73	15	123	31	110

#pink-medical
80730	79	52	101	74	110
#boom
80731	111	52	133	74	110
#pink
80732	142	52	164	74	110

#==Number
#0
80740	32	135	41	143	110
#1
80741	44	135	52	143	110
#2
80742	55	135	63	143	110
#3
80743	67	135	75	143	110
#4
80744	79	135	87	143	110
#5
80745	90	135	98	143	110
#6
80746	101	135	109	143	110
#7
80747	112	135	120	143	110
#8
80748	123	135	131	143	110
#9
80749	135	135	143	143	110
# 0hp
80721	9	15	59	31	110
#1hp
80722	9	34	59	50	110
#2hp
80723	9	55	59	71	110
#3HP
80724	9	76	59	92	110
#4hp
80725	73	15	123	31	110




# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#Gimmick
#idle right
100	10000	2500	10001	200	10000	200	10001	200
#idle left
101	10017	2500	10018	200	10017	200	10018	200
#walk right
102	10002	100	10003	100	10004	100	10005	100	10006	100	10007	100
#walk left
103	10019	100	10020	100	10021	100	10022	100	10023	100
#jump right
104	10008	500
#Jump left
105	10024	100
#colision right
106	10010	100	10011	100	10012	100	10013	100	10014	100	10015	100	10016	100
#colision left
107	10026	100	10027	100	10028	100	10029	100	10030	100	10031	100	10032	100

#small-star
200	20000	100	20001	100
#big-star
201	20002	100	20003	100	20004	100

#======back-enemy
#walk right
300	30000	100	30001	100	30002	100
#walk left
301	30003	100	30004	100	30005	100
#jump right
302	30020	100
#jump left
303	30021	100
#fly 	right
304	30006	100	30007	100	30008	100	30009	100	30010	100
#fly left
303	30011	100	30012	100	30013	100	30014	100	30015	100

# Fronted Brick
451	40100	100
452	40101	100
453	40102	100
454	40103	100
455	40104	100
=======
305	30011	100	30012	100	30013	100	30014	100	30015	100
#die
306	30022	100
#====black-eneny-electric

#brick
400	40000	100
401	40001	100
402	40002	100
403	40003	100
404	40004	100
405	40005	100
406	40006	100
407	40007	100
408	40008	100

#moving-brick
410	40010	100
411	40011	100

#====black-eneny-electric
#walk left
500	50004	100	50005	100	50006	100
#sit left
501	50007	100
#walk right
502	50000	100	50001	100	50002	100
#sit right
503	50003	100

#Medicine
#pink
600	60000	100
#orange
601	60001	100
#bomb-pink
602	60002	100
#bomb-black
603	60003	100

#======Slide=======
#slide-right
610	60100	100	60101	100	60102	100	60103	100
#slide-left
611	60104	100	60105	100	60106	100	60107	100

#flower
700	70000	100

#bomb
#lăn
